/home/cc/dagonstar/venv/lib/python3.12/site-packages/paramiko/pkey.py:82: CryptographyDeprecationWarning: TripleDES has been moved to cryptography.hazmat.decrepit.ciphers.algorithms.TripleDES and will be removed from cryptography.hazmat.primitives.ciphers.algorithms in 48.0.0.
  "cipher": algorithms.TripleDES,
/home/cc/dagonstar/venv/lib/python3.12/site-packages/paramiko/transport.py:253: CryptographyDeprecationWarning: TripleDES has been moved to cryptography.hazmat.decrepit.ciphers.algorithms.TripleDES and will be removed from cryptography.hazmat.primitives.ciphers.algorithms in 48.0.0.
  "class": algorithms.TripleDES,
2025-08-05 21:14:32,272 root         DEBUG    edge_11_05_01: Status.RUNNING
2025-08-05 21:14:32,273 root         DEBUG    edge_17_04_01: Status.WAITING
2025-08-05 21:14:32,273 root         DEBUG    edge_17_05_01: Status.WAITING
2025-08-05 21:14:32,274 root         DEBUG    edge_11_06_01: Status.RUNNING
2025-08-05 21:14:32,274 root         DEBUG    edge_17_06_01: Status.WAITING
2025-08-05 21:14:32,274 root         DEBUG    edge_8_06_01: Executing...
2025-08-05 21:14:32,275 root         DEBUG    edge_17_07_01: Status.WAITING
2025-08-05 21:14:32,275 root         DEBUG    edge_11_07_01: Status.RUNNING
2025-08-05 21:14:32,275 root         DEBUG    edge_17_08_01: Status.WAITING
2025-08-05 21:14:32,276 root         DEBUG    edge_11_08_01: Status.RUNNING
2025-08-05 21:14:32,276 root         DEBUG    edge_17_09_01: Status.WAITING
2025-08-05 21:14:32,276 root         DEBUG    edge_8_07_01: Executing...
2025-08-05 21:14:32,277 root         DEBUG    edge_17_10_01: Status.WAITING
2025-08-05 21:14:32,277 root         DEBUG    edge_11_09_01: Status.RUNNING
2025-08-05 21:14:32,277 root         DEBUG    edge_17_11_01: Status.WAITING
2025-08-05 21:14:32,278 root         DEBUG    edge_11_10_01: Status.RUNNING
2025-08-05 21:14:32,278 root         DEBUG    edge_18_01_01: Status.WAITING
2025-08-05 21:14:32,278 root         DEBUG    edge_8_08_01: Executing...
2025-08-05 21:14:32,278 root         DEBUG    edge_18_02_01: Status.WAITING
2025-08-05 21:14:32,278 root         DEBUG    edge_11_11_01: Status.RUNNING
2025-08-05 21:14:32,279 root         DEBUG    edge_18_03_01: Status.WAITING
2025-08-05 21:14:32,265 root         DEBUG    edge_8_09_01: Status.RUNNING
2025-08-05 21:14:32,280 root         DEBUG    edge_18_04_01: Status.WAITING
2025-08-05 21:14:32,280 root         DEBUG    edge_16_01_01: Executing...
2025-08-05 21:14:32,280 root         DEBUG    edge_18_05_01: Status.WAITING
2025-08-05 21:14:32,280 root         DEBUG    edge_16_02_01: Status.RUNNING
2025-08-05 21:14:32,281 root         DEBUG    edge_18_06_01: Status.WAITING
2025-08-05 21:14:32,281 root         DEBUG    edge_8_10_01: Executing...
2025-08-05 21:14:32,281 root         DEBUG    edge_18_07_01: Status.WAITING
2025-08-05 21:14:32,281 root         DEBUG    edge_16_03_01: Status.RUNNING
2025-08-05 21:14:32,282 root         DEBUG    edge_18_08_01: Status.WAITING
2025-08-05 21:14:32,282 root         DEBUG    edge_18_09_01: Status.WAITING
2025-08-05 21:14:32,282 root         DEBUG    edge_16_04_01: Status.RUNNING
2025-08-05 21:14:32,283 root         DEBUG    edge_18_10_01: Status.WAITING
2025-08-05 21:14:32,283 root         DEBUG    edge_8_11_01: Executing...
2025-08-05 21:14:32,283 root         DEBUG    edge_16_05_01: Status.RUNNING
2025-08-05 21:14:32,284 root         DEBUG    edge_18_11_01: Status.WAITING
2025-08-05 21:14:32,284 root         DEBUG    edge_16_06_01: Status.RUNNING
2025-08-05 21:14:32,284 root         DEBUG    edge_24_01_01: Status.WAITING
2025-08-05 21:14:32,285 root         DEBUG    edge_16_07_01: Status.RUNNING
2025-08-05 21:14:32,285 root         DEBUG    edge_24_02_01: Status.WAITING
2025-08-05 21:14:32,285 root         DEBUG    edge_11_01_01: Executing...
2025-08-05 21:14:32,286 root         DEBUG    edge_24_03_01: Status.WAITING
2025-08-05 21:14:32,286 root         DEBUG    edge_16_08_01: Status.RUNNING
2025-08-05 21:14:32,286 root         DEBUG    edge_24_04_01: Status.WAITING
2025-08-05 21:14:32,287 root         DEBUG    edge_24_05_01: Status.WAITING
2025-08-05 21:14:32,288 root         DEBUG    edge_16_09_01: Status.RUNNING
2025-08-05 21:14:32,288 root         DEBUG    edge_24_06_01: Status.WAITING
2025-08-05 21:14:32,289 root         DEBUG    edge_11_02_01: Executing...
2025-08-05 21:14:32,289 root         DEBUG    edge_24_07_01: Status.WAITING
