/home/cc/dagonstar/venv/lib/python3.12/site-packages/paramiko/pkey.py:82: CryptographyDeprecationWarning: TripleDES has been moved to cryptography.hazmat.decrepit.ciphers.algorithms.TripleDES and will be removed from cryptography.hazmat.primitives.ciphers.algorithms in 48.0.0.
  "cipher": algorithms.TripleDES,
2025-08-05 21:09:52,066 root         DEBUG    edge_8_08_01: Status.RUNNING
2025-08-05 21:09:52,066 root         DEBUG    edge_11_11_01: Status.WAITING
2025-08-05 21:09:52,066 root         DEBUG    edge_4_11_01: Executing...
2025-08-05 21:09:52,067 root         DEBUG    edge_16_01_01: Status.WAITING
2025-08-05 21:09:52,067 root         DEBUG    edge_8_09_01: Status.RUNNING
2025-08-05 21:09:52,067 root         DEBUG    edge_16_02_01: Status.WAITING
2025-08-05 21:09:52,067 root         DEBUG    edge_4_07_01: Executing...
2025-08-05 21:09:52,068 root         DEBUG    edge_16_03_01: Status.WAITING
2025-08-05 21:09:52,068 root         DEBUG    edge_16_04_01: Status.WAITING
2025-08-05 21:09:52,068 root         DEBUG    edge_8_10_01: Status.RUNNING
2025-08-05 21:09:52,069 root         DEBUG    edge_16_05_01: Status.WAITING
2025-08-05 21:09:52,069 root         DEBUG    edge_8_02_01: Executing...
2025-08-05 21:09:52,069 root         DEBUG    edge_16_06_01: Status.WAITING
2025-08-05 21:09:52,069 root         DEBUG    edge_8_11_01: Status.RUNNING
2025-08-05 21:09:52,070 root         DEBUG    edge_16_07_01: Status.WAITING
2025-08-05 21:09:52,070 root         DEBUG    edge_11_01_01: Status.RUNNING
2025-08-05 21:09:52,070 root         DEBUG    edge_16_08_01: Status.WAITING
2025-08-05 21:09:52,070 root         DEBUG    edge_8_03_01: Executing...
2025-08-05 21:09:52,071 root         DEBUG    edge_16_09_01: Status.WAITING
2025-08-05 21:09:52,071 root         DEBUG    edge_11_02_01: Status.RUNNING
2025-08-05 21:09:52,071 root         DEBUG    edge_16_10_01: Status.WAITING
2025-08-05 21:09:52,072 root         DEBUG    edge_16_11_01: Status.WAITING
2025-08-05 21:09:52,072 root         DEBUG    edge_11_03_01: Status.RUNNING
2025-08-05 21:09:52,072 root         DEBUG    edge_17_01_01: Status.WAITING
2025-08-05 21:09:52,073 root         DEBUG    edge_8_04_01: Executing...
2025-08-05 21:09:52,073 root         DEBUG    edge_17_02_01: Status.WAITING
2025-08-05 21:09:52,073 root         DEBUG    edge_11_04_01: Status.RUNNING
2025-08-05 21:09:52,074 root         DEBUG    edge_17_03_01: Status.WAITING
2025-08-05 21:09:52,074 root         DEBUG    edge_17_04_01: Status.WAITING
2025-08-05 21:09:52,074 root         DEBUG    edge_11_05_01: Status.RUNNING
2025-08-05 21:09:52,075 root         DEBUG    edge_17_05_01: Status.WAITING
2025-08-05 21:09:52,075 root         DEBUG    edge_8_05_01: Executing...
2025-08-05 21:09:52,075 root         DEBUG    edge_17_06_01: Status.WAITING
2025-08-05 21:09:52,075 root         DEBUG    edge_11_06_01: Status.RUNNING
2025-08-05 21:09:52,076 root         DEBUG    edge_17_07_01: Status.WAITING
2025-08-05 21:09:52,076 root         DEBUG    edge_11_07_01: Status.RUNNING
2025-08-05 21:09:52,076 root         DEBUG    edge_17_08_01: Status.WAITING
2025-08-05 21:09:52,076 root         DEBUG    edge_8_06_01: Executing...
2025-08-05 21:09:52,077 root         DEBUG    edge_17_09_01: Status.WAITING
2025-08-05 21:09:52,077 root         DEBUG    edge_11_08_01: Status.RUNNING
2025-08-05 21:09:52,077 root         DEBUG    edge_17_10_01: Status.WAITING
2025-08-05 21:09:52,065 root         DEBUG    edge_8_07_01: Status.RUNNING
2025-08-05 21:09:52,078 root         DEBUG    edge_17_11_01: Status.WAITING
2025-08-05 21:09:52,078 root         DEBUG    edge_11_09_01: Executing...
2025-08-05 21:09:52,079 root         DEBUG    edge_18_01_01: Status.WAITING
2025-08-05 21:09:52,079 root         DEBUG    edge_11_10_01: Status.RUNNING
2025-08-05 21:09:52,079 root         DEBUG    edge_18_02_01: Status.WAITING
2025-08-05 21:09:52,079 root         DEBUG    edge_8_08_01: Executing...
2025-08-05 21:09:52,080 root         DEBUG    edge_18_03_01: Status.WAITING
2025-08-05 21:09:52,080 root         DEBUG    edge_11_11_01: Status.RUNNING
2025-08-05 21:09:52,080 root         DEBUG    edge_18_04_01: Status.WAITING
2025-08-05 21:09:52,081 root         DEBUG    edge_18_05_01: Status.WAITING
2025-08-05 21:09:52,081 root         DEBUG    edge_16_01_01: Status.RUNNING
2025-08-05 21:09:52,081 root         DEBUG    edge_18_06_01: Status.WAITING
2025-08-05 21:09:52,081 root         DEBUG    edge_8_09_01: Executing...
2025-08-05 21:09:52,082 root         DEBUG    edge_18_07_01: Status.WAITING
2025-08-05 21:09:52,082 root         DEBUG    edge_16_02_01: Status.RUNNING
2025-08-05 21:09:52,082 root         DEBUG    edge_18_08_01: Status.WAITING
2025-08-05 21:09:52,083 root         DEBUG    edge_18_09_01: Status.WAITING
2025-08-05 21:09:52,083 root         DEBUG    edge_16_03_01: Status.RUNNING
2025-08-05 21:09:52,084 root         DEBUG    edge_18_10_01: Status.WAITING
2025-08-05 21:09:52,084 root         DEBUG    edge_16_04_01: Status.RUNNING
2025-08-05 21:09:52,084 root         DEBUG    edge_18_11_01: Status.WAITING
2025-08-05 21:09:52,084 root         DEBUG    edge_8_10_01: Executing...
2025-08-05 21:09:52,085 root         DEBUG    edge_24_01_01: Status.WAITING
2025-08-05 21:09:52,085 root         DEBUG    edge_16_05_01: Status.RUNNING
2025-08-05 21:09:52,086 root         DEBUG    edge_24_02_01: Status.WAITING
2025-08-05 21:09:52,087 root         DEBUG    edge_24_03_01: Status.WAITING
2025-08-05 21:09:52,087 root         DEBUG    edge_16_06_01: Status.RUNNING
2025-08-05 21:09:52,087 root         DEBUG    edge_24_04_01: Status.WAITING
2025-08-05 21:09:52,088 root         DEBUG    edge_24_05_01: Status.WAITING
2025-08-05 21:09:52,088 root         DEBUG    edge_8_11_01: Executing...
2025-08-05 21:09:52,089 root         DEBUG    edge_24_06_01: Status.WAITING
2025-08-05 21:09:52,089 root         DEBUG    edge_16_07_01: Status.RUNNING
2025-08-05 21:09:52,089 root         DEBUG    edge_24_07_01: Status.WAITING
2025-08-05 21:09:52,089 root         DEBUG    edge_11_01_01: Executing...
2025-08-05 21:09:52,090 root         DEBUG    edge_24_08_01: Status.WAITING
2025-08-05 21:09:52,090 root         DEBUG    edge_16_08_01: Status.RUNNING
2025-08-05 21:09:52,091 root         DEBUG    edge_24_09_01: Status.WAITING
2025-08-05 21:09:52,091 root         DEBUG    edge_24_10_01: Status.WAITING
2025-08-05 21:09:52,092 root         DEBUG    edge_16_09_01: Status.RUNNING
2025-08-05 21:09:52,092 root         DEBUG    edge_24_11_01: Status.WAITING
2025-08-05 21:09:52,092 root         DEBUG    edge_11_02_01: Executing...
2025-08-05 21:09:52,092 root         DEBUG    edge_27_01_01: Status.WAITING
2025-08-05 21:09:52,093 root         DEBUG    edge_16_10_01: Status.RUNNING
2025-08-05 21:09:52,093 root         DEBUG    edge_16_11_01: Status.RUNNING
2025-08-05 21:09:52,093 root         DEBUG    edge_27_02_01: Status.WAITING
2025-08-05 21:09:52,094 root         DEBUG    edge_11_03_01: Executing...
2025-08-05 21:09:52,094 root         DEBUG    edge_27_03_01: Status.WAITING
2025-08-05 21:09:52,094 root         DEBUG    edge_17_01_01: Status.RUNNING
2025-08-05 21:09:52,095 root         DEBUG    edge_27_04_01: Status.WAITING
2025-08-05 21:09:52,096 root         DEBUG    edge_27_05_01: Status.WAITING
2025-08-05 21:09:52,096 root         DEBUG    edge_17_02_01: Status.RUNNING
2025-08-05 21:09:52,096 root         DEBUG    edge_27_06_01: Status.WAITING
2025-08-05 21:09:52,097 root         DEBUG    edge_11_04_01: Executing...
2025-08-05 21:09:52,097 root         DEBUG    edge_17_03_01: Status.RUNNING
2025-08-05 21:09:52,097 root         DEBUG    edge_27_07_01: Status.WAITING
2025-08-05 21:09:52,097 root         DEBUG    edge_17_04_01: Status.RUNNING
2025-08-05 21:09:52,098 root         DEBUG    edge_27_08_01: Status.WAITING
2025-08-05 21:09:52,098 root         DEBUG    edge_11_05_01: Executing...
2025-08-05 21:09:52,098 root         DEBUG    edge_27_09_01: Status.WAITING
2025-08-05 21:09:52,098 root         DEBUG    edge_17_05_01: Status.RUNNING
2025-08-05 21:09:52,099 root         DEBUG    edge_27_10_01: Status.WAITING
2025-08-05 21:09:52,100 root         DEBUG    edge_27_11_01: Status.WAITING
2025-08-05 21:09:52,100 root         DEBUG    edge_17_06_01: Status.RUNNING
2025-08-05 21:09:52,101 root         DEBUG    edge_35_01_01: Status.WAITING
2025-08-05 21:09:52,101 root         DEBUG    edge_11_06_01: Executing...
2025-08-05 21:09:52,101 root         DEBUG    edge_35_02_01: Status.WAITING
2025-08-05 21:09:52,101 root         DEBUG    edge_17_07_01: Status.RUNNING
2025-08-05 21:09:52,102 root         DEBUG    edge_11_07_01: Executing...
2025-08-05 21:09:52,102 root         DEBUG    edge_35_03_01: Status.WAITING
2025-08-05 21:09:52,103 root         DEBUG    edge_35_04_01: Status.WAITING
2025-08-05 21:09:52,103 root         DEBUG    edge_17_08_01: Status.RUNNING
2025-08-05 21:09:52,104 root         DEBUG    edge_35_05_01: Status.WAITING
2025-08-05 21:09:52,106 root         DEBUG    edge_35_06_01: Status.WAITING
2025-08-05 21:09:52,107 root         DEBUG    edge_17_09_01: Status.RUNNING
2025-08-05 21:09:52,107 root         DEBUG    edge_35_07_01: Status.WAITING
2025-08-05 21:09:52,107 root         DEBUG    edge_11_08_01: Executing...
2025-08-05 21:09:52,108 root         DEBUG    edge_35_08_01: Status.WAITING
2025-08-05 21:09:52,108 root         DEBUG    edge_17_10_01: Status.RUNNING
2025-08-05 21:09:52,109 root         DEBUG    edge_35_09_01: Status.WAITING
2025-08-05 21:09:52,109 root         DEBUG    edge_8_07_01: Executing...
2025-08-05 21:09:52,109 root         DEBUG    edge_35_10_01: Status.WAITING
2025-08-05 21:09:52,186 root         DEBUG    edge_35_10_01: Status.RUNNING
2025-08-05 21:09:52,111 root         DEBUG    edge_35_11_01: Status.WAITING
2025-08-05 21:09:52,113 root         DEBUG    edge_36_01_01: Status.WAITING
2025-08-05 21:09:52,114 root         DEBUG    edge_36_02_01: Status.WAITING
2025-08-05 21:09:52,114 root         DEBUG    edge_18_01_01: Status.RUNNING
2025-08-05 21:09:52,115 root         DEBUG    edge_36_03_01: Status.WAITING
2025-08-05 21:09:52,115 root         DEBUG    edge_11_10_01: Executing...
2025-08-05 21:09:52,115 root         DEBUG    edge_18_02_01: Status.RUNNING
2025-08-05 21:09:52,115 root         DEBUG    edge_36_04_01: Status.WAITING
2025-08-05 21:09:52,116 root         DEBUG    edge_36_05_01: Status.WAITING
2025-08-05 21:09:52,117 root         DEBUG    edge_36_06_01: Status.WAITING
2025-08-05 21:09:52,117 root         DEBUG    edge_18_03_01: Status.RUNNING
2025-08-05 21:09:52,118 root         DEBUG    edge_11_11_01: Executing...
2025-08-05 21:09:52,118 root         DEBUG    edge_36_07_01: Status.WAITING
2025-08-05 21:09:52,119 root         DEBUG    edge_18_04_01: Status.RUNNING
2025-08-05 21:09:52,119 root         DEBUG    edge_36_08_01: Status.WAITING
2025-08-05 21:09:52,119 root         DEBUG    edge_18_05_01: Status.RUNNING
2025-08-05 21:09:52,120 root         DEBUG    edge_36_09_01: Status.WAITING
2025-08-05 21:09:52,120 root         DEBUG    edge_16_01_01: Executing...
2025-08-05 21:09:52,120 root         DEBUG    edge_36_10_01: Status.WAITING
2025-08-05 21:09:52,120 root         DEBUG    edge_18_06_01: Status.RUNNING
2025-08-05 21:09:52,120 root         DEBUG    edge_36_11_01: Status.WAITING
2025-08-05 21:09:52,122 root         DEBUG    fog_4: Status.WAITING
2025-08-05 21:09:52,122 root         DEBUG    edge_18_07_01: Status.RUNNING
2025-08-05 21:09:52,123 root         DEBUG    fog_8: Status.WAITING
2025-08-05 21:09:52,123 root         DEBUG    edge_16_02_01: Executing...
2025-08-05 21:09:52,124 root         DEBUG    edge_18_08_01: Status.RUNNING
2025-08-05 21:09:52,124 root         DEBUG    fog_11: Status.WAITING
2025-08-05 21:09:52,125 root         DEBUG    edge_18_09_01: Status.RUNNING
2025-08-05 21:09:52,125 root         DEBUG    fog_16: Status.WAITING
2025-08-05 21:09:52,125 root         DEBUG    edge_16_03_01: Executing...
2025-08-05 21:09:52,126 root         DEBUG    fog_17: Status.WAITING
2025-08-05 21:09:52,127 root         DEBUG    edge_18_10_01: Status.RUNNING
2025-08-05 21:09:52,127 root         DEBUG    fog_18: Status.WAITING
2025-08-05 21:09:52,127 root         DEBUG    edge_16_04_01: Executing...
2025-08-05 21:09:52,128 root         DEBUG    fog_24: Status.WAITING
2025-08-05 21:09:52,128 root         DEBUG    edge_18_11_01: Status.RUNNING
2025-08-05 21:09:52,129 root         DEBUG    fog_27: Status.WAITING
2025-08-05 21:09:52,129 root         DEBUG    fog_35: Status.WAITING
2025-08-05 21:09:52,130 root         DEBUG    edge_24_01_01: Status.RUNNING
2025-08-05 21:09:52,131 root         DEBUG    edge_16_05_01: Executing...
2025-08-05 21:09:52,131 root         DEBUG    fog_36: Status.WAITING
2025-08-05 21:09:52,132 root         DEBUG    cloud_4: Status.WAITING
2025-08-05 21:09:52,133 root         DEBUG    edge_24_02_01: Status.RUNNING
2025-08-05 21:09:52,134 root         DEBUG    edge_4_01_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192049-edge_4_01_01
2025-08-05 21:09:52,134 root         DEBUG    edge_24_03_01: Status.RUNNING
2025-08-05 21:09:52,134 root         DEBUG    cloud_8: Status.WAITING
2025-08-05 21:09:52,135 root         DEBUG    edge_16_06_01: Executing...
2025-08-05 21:09:52,136 root         DEBUG    edge_24_04_01: Status.RUNNING
2025-08-05 21:09:52,137 root         DEBUG    edge_4_03_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192054-edge_4_03_01
2025-08-05 21:09:52,138 root         DEBUG    cloud_11: Status.WAITING
2025-08-05 21:09:52,139 root         DEBUG    edge_24_05_01: Status.RUNNING
2025-08-05 21:09:52,139 root         DEBUG    cloud_16: Status.WAITING
2025-08-05 21:09:52,139 root         DEBUG    edge_4_02_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192052-edge_4_02_01
2025-08-05 21:09:52,141 root         DEBUG    cloud_17: Status.WAITING
2025-08-05 21:09:52,143 root         DEBUG    cloud_18: Status.WAITING
2025-08-05 21:09:52,143 root         DEBUG    edge_4_04_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192058-edge_4_04_01
2025-08-05 21:09:52,144 root         DEBUG    cloud_24: Status.WAITING
2025-08-05 21:09:52,145 root         DEBUG    edge_24_06_01: Status.RUNNING
2025-08-05 21:09:52,145 root         DEBUG    edge_4_05_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192060-edge_4_05_01
2025-08-05 21:09:52,146 root         DEBUG    cloud_27: Status.WAITING
2025-08-05 21:09:52,146 root         DEBUG    edge_16_07_01: Executing...
2025-08-05 21:09:52,147 root         DEBUG    edge_24_07_01: Status.RUNNING
2025-08-05 21:09:52,148 root         DEBUG    edge_4_06_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192064-edge_4_06_01
2025-08-05 21:09:52,148 root         DEBUG    cloud_35: Status.WAITING
2025-08-05 21:09:52,150 root         DEBUG    edge_24_08_01: Status.RUNNING
2025-08-05 21:09:52,150 root         DEBUG    cloud_36: Status.WAITING
2025-08-05 21:09:52,151 root         DEBUG    edge_16_08_01: Executing...
2025-08-05 21:09:52,151 root         DEBUG    train_model: Status.WAITING
2025-08-05 21:09:52,152 root         DEBUG    predict_pollution_4: Status.WAITING
2025-08-05 21:09:52,153 root         DEBUG    edge_24_09_01: Status.RUNNING
2025-08-05 21:09:52,154 root         DEBUG    predict_pollution_8: Status.WAITING
2025-08-05 21:09:52,154 root         DEBUG    edge_24_10_01: Status.RUNNING
2025-08-05 21:09:52,155 root         DEBUG    predict_pollution_11: Status.WAITING
2025-08-05 21:09:52,156 root         DEBUG    edge_16_09_01: Executing...
2025-08-05 21:09:52,157 root         DEBUG    predict_pollution_16: Status.WAITING
2025-08-05 21:09:52,158 root         DEBUG    edge_4_08_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192072-edge_4_08_01
2025-08-05 21:09:52,158 root         DEBUG    edge_24_11_01: Status.RUNNING
2025-08-05 21:09:52,158 root         DEBUG    edge_8_01_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192068-edge_8_01_01
2025-08-05 21:09:52,159 root         DEBUG    predict_pollution_17: Status.WAITING
2025-08-05 21:09:52,161 root         DEBUG    predict_pollution_18: Status.WAITING
2025-08-05 21:09:52,162 root         DEBUG    predict_pollution_24: Status.WAITING
2025-08-05 21:09:52,162 root         DEBUG    edge_4_09_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192074-edge_4_09_01
2025-08-05 21:09:52,163 root         DEBUG    edge_27_01_01: Status.RUNNING
2025-08-05 21:09:52,164 root         DEBUG    edge_16_10_01: Executing...
2025-08-05 21:09:52,165 root         DEBUG    edge_4_07_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192083-edge_4_07_01
2025-08-05 21:09:52,165 root         DEBUG    edge_4_10_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192078-edge_4_10_01
2025-08-05 21:09:52,165 root         DEBUG    edge_4_11_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192081-edge_4_11_01
2025-08-05 21:09:52,165 root         DEBUG    predict_pollution_27: Status.WAITING
2025-08-05 21:09:52,166 root         DEBUG    edge_16_11_01: Executing...
2025-08-05 21:09:52,167 root         DEBUG    predict_pollution_35: Status.WAITING
2025-08-05 21:09:52,168 root         DEBUG    predict_pollution_36: Status.WAITING
2025-08-05 21:09:52,169 root         DEBUG    edge_27_02_01: Status.RUNNING
2025-08-05 21:09:52,171 root         DEBUG    edge_27_03_01: Status.RUNNING
2025-08-05 21:09:52,172 root         DEBUG    edge_17_01_01: Executing...
2025-08-05 21:09:52,172 root         DEBUG    edge_8_02_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192086-edge_8_02_01
2025-08-05 21:09:52,172 root         DEBUG    edge_27_04_01: Status.RUNNING
2025-08-05 21:09:52,173 root         DEBUG    edge_27_05_01: Status.RUNNING
2025-08-05 21:09:52,174 root         DEBUG    edge_8_03_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192091-edge_8_03_01
2025-08-05 21:09:52,174 root         DEBUG    edge_17_02_01: Executing...
2025-08-05 21:09:52,174 root         DEBUG    edge_27_06_01: Status.RUNNING
2025-08-05 21:09:52,175 root         DEBUG    edge_17_03_01: Executing...
2025-08-05 21:09:52,176 root         DEBUG    edge_27_07_01: Status.RUNNING
2025-08-05 21:09:52,177 root         DEBUG    edge_8_04_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192095-edge_8_04_01
2025-08-05 21:09:52,177 root         DEBUG    edge_17_04_01: Executing...
2025-08-05 21:09:52,177 root         DEBUG    edge_27_08_01: Status.RUNNING
2025-08-05 21:09:52,178 root         DEBUG    edge_27_09_01: Status.RUNNING
2025-08-05 21:09:52,178 root         DEBUG    edge_17_05_01: Executing...
2025-08-05 21:09:52,179 root         DEBUG    edge_27_10_01: Status.RUNNING
2025-08-05 21:09:52,179 root         DEBUG    edge_27_11_01: Status.RUNNING
2025-08-05 21:09:52,180 root         DEBUG    edge_17_06_01: Executing...
2025-08-05 21:09:52,180 root         DEBUG    edge_8_05_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192100-edge_8_05_01
2025-08-05 21:09:52,180 root         DEBUG    edge_35_01_01: Status.RUNNING
2025-08-05 21:09:52,181 root         DEBUG    edge_35_02_01: Status.RUNNING
2025-08-05 21:09:52,182 root         DEBUG    edge_17_07_01: Executing...
2025-08-05 21:09:52,182 root         DEBUG    edge_35_03_01: Status.RUNNING
2025-08-05 21:09:52,183 root         DEBUG    edge_35_04_01: Status.RUNNING
2025-08-05 21:09:52,183 root         DEBUG    edge_17_08_01: Executing...
2025-08-05 21:09:52,183 root         DEBUG    edge_35_05_01: Status.RUNNING
2025-08-05 21:09:52,183 root         DEBUG    edge_35_06_01: Status.RUNNING
2025-08-05 21:09:52,183 root         DEBUG    edge_17_09_01: Executing...
2025-08-05 21:09:52,184 root         DEBUG    edge_35_07_01: Status.RUNNING
2025-08-05 21:09:52,185 root         DEBUG    edge_35_08_01: Status.RUNNING
2025-08-05 21:09:52,185 root         DEBUG    edge_17_10_01: Executing...
2025-08-05 21:09:52,185 root         DEBUG    edge_35_09_01: Status.RUNNING
2025-08-05 21:09:52,110 root         DEBUG    edge_17_11_01: Status.RUNNING
2025-08-05 21:09:52,186 root         DEBUG    edge_35_10_01: Executing...
2025-08-05 21:09:52,186 root         DEBUG    edge_35_11_01: Status.RUNNING
2025-08-05 21:09:52,187 root         DEBUG    edge_36_01_01: Status.RUNNING
2025-08-05 21:09:52,187 root         DEBUG    edge_36_02_01: Status.RUNNING
2025-08-05 21:09:52,187 root         DEBUG    edge_18_01_01: Executing...
2025-08-05 21:09:52,187 root         DEBUG    edge_36_03_01: Status.RUNNING
2025-08-05 21:09:52,189 root         DEBUG    edge_8_06_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192106-edge_8_06_01
2025-08-05 21:09:52,189 root         DEBUG    edge_18_02_01: Executing...
2025-08-05 21:09:52,190 root         DEBUG    edge_36_04_01: Status.RUNNING
2025-08-05 21:09:52,190 root         DEBUG    edge_36_05_01: Status.RUNNING
2025-08-05 21:09:52,191 root         DEBUG    edge_36_06_01: Status.RUNNING
2025-08-05 21:09:52,191 root         DEBUG    edge_18_03_01: Executing...
